Date,Distance (Km),Duration (HH:mm),Over speeding,Over RPM,Idle time,Acceleration,Deceleration,Total,Ranking,Target Variable,Quarter_bin,Month,Year
28/02/2022,4325.8,18:00:00,93,100,39,100,100,87,55,Good,Q1_2022,2,2022
28/02/2022,4417.9,16:48:00,93,100,31,98,98,85,92,Good,Q1_2022,2,2022
28/02/2022,5020.6,116.53333333333333,87,100,28,100,100,83,115,Good,Q1_2022,2,2022
28/02/2022,3662.9,95.66666666666667,90,100,57,100,100,89,31,Good,Q1_2022,2,2022
28/02/2022,4713.5,101.61666666666666,70,100,35,100,100,79,143,Risky,Q1_2022,2,2022
28/02/2022,5207.2,123.71666666666667,96,96,46,98,98,88,39,Good,Q1_2022,2,2022
28/02/2022,3806.1,110.21666666666667,90,100,24,100,100,83,115,Good,Q1_2022,2,2022
28/02/2022,3757.4,95.28333333333333,93,100,26,100,100,85,92,Good,Q1_2022,2,2022
28/02/2022,3819.5,00:00:00,62,100,17,100,100,73,151,Risky,Q1_2022,2,2022
28/02/2022,4009.2,04:48:00,85,100,11,100,100,80,138,Good,Q1_2022,2,2022
28/02/2022,286,6.366666666666666,100,100,44,100,100,90,20,Good,Q1_2022,2,2022
28/02/2022,383.5,8.383333333333333,100,100,74,100,100,95,7,Good,Q1_2022,2,2022
28/02/2022,0,08:24:00,100,100,0,100,100,83,115,Good,Q1_2022,2,2022
28/02/2022,4162.7,00:00:00,98,100,46,100,100,90,20,Good,Q1_2022,2,2022
28/02/2022,3574.7,02:24:00,97,100,35,100,100,88,39,Good,Q1_2022,2,2022
28/02/2022,2866,08:24:00,84,100,24,99,100,82,123,Good,Q1_2022,2,2022
28/02/2022,3643.4,10:48:00,99,99,36,100,100,89,31,Good,Q1_2022,2,2022
28/02/2022,4040.9,20:24:00,100,100,29,100,100,88,39,Good,Q1_2022,2,2022
28/02/2022,3110.3,84.28333333333333,86,100,38,100,99,85,92,Good,Q1_2022,2,2022
28/02/2022,2749.2,67.11666666666666,94,100,34,99,100,87,55,Good,Q1_2022,2,2022
28/02/2022,4380.2,105.83333333333333,90,100,49,100,100,88,39,Good,Q1_2022,2,2022
28/02/2022,2602.2,13:12:00,100,100,76,100,100,96,5,Good,Q1_2022,2,2022
28/02/2022,4428.1,07:12:00,88,100,27,100,100,84,105,Good,Q1_2022,2,2022
28/02/2022,5119.2,119.01666666666667,95,100,8,100,100,82,123,Good,Q1_2022,2,2022
28/02/2022,4200.1,04:48:00,97,100,23,100,100,86,70,Good,Q1_2022,2,2022
28/02/2022,0,0.016666666666666666,100,100,100,100,100,100,1,Good,Q1_2022,2,2022
28/02/2022,3738.9,87.48333333333333,98,100,21,100,100,86,70,Good,Q1_2022,2,2022
28/02/2022,3476.6,13:12:00,83,100,25,94,94,79,143,Risky,Q1_2022,2,2022
28/02/2022,4322.9,105.43333333333334,100,100,44,100,100,90,20,Good,Q1_2022,2,2022
28/02/2022,4198.1,99.61666666666666,86,100,21,100,100,82,123,Good,Q1_2022,2,2022
28/02/2022,2889,14:24:00,94,99,14,100,100,83,115,Good,Q1_2022,2,2022
28/02/2022,1606.2,39.583333333333336,94,100,31,100,100,86,70,Good,Q1_2022,2,2022
28/02/2022,4157.9,97.86666666666666,87,100,35,100,100,84,105,Good,Q1_2022,2,2022
28/02/2022,2519.9,20:24:00,86,100,45,100,100,86,70,Good,Q1_2022,2,2022
28/02/2022,4228.3,21:36:00,94,95,48,100,100,88,39,Good,Q1_2022,2,2022
28/02/2022,982.1,22.383333333333333,100,99,35,100,100,89,31,Good,Q1_2022,2,2022
28/02/2022,4102.3,95.56666666666666,82,100,19,100,100,80,138,Good,Q1_2022,2,2022
28/02/2022,5004.2,01:12:00,84,100,26,100,100,82,123,Good,Q1_2022,2,2022
28/02/2022,3893.8,13:12:00,100,99,19,99,100,86,70,Good,Q1_2022,2,2022
28/02/2022,3945.9,102.38333333333334,99,100,32,100,100,88,39,Good,Q1_2022,2,2022
28/02/2022,2107.5,02:24:00,81,100,33,99,100,82,123,Good,Q1_2022,2,2022
28/02/2022,4141.5,09:36:00,100,100,29,100,100,88,39,Good,Q1_2022,2,2022
28/02/2022,4506.9,100.51666666666667,92,99,68,93,93,89,31,Good,Q1_2022,2,2022
28/02/2022,3213.5,69.76666666666667,95,100,31,99,100,86,70,Good,Q1_2022,2,2022
28/02/2022,3704.1,90.41666666666667,80,99,24,99,99,80,138,Good,Q1_2022,2,2022
